date,Close,High,Low,Open,Volume,VolWeiAvgPrc
2021-03-05 15:00:00,1.51074,1.51093,1.50766,1.50996,15654,1.5096
2021-03-05 16:00:00,1.50888,1.51164,1.50854,1.51062,12847,1.5105
2021-03-05 17:00:00,1.50854,1.51034,1.5067,1.50896,10697,1.5087
2021-03-05 18:00:00,1.50776,1.50942,1.5065,1.50847,9976,1.508
2021-03-05 19:00:00,1.5087,1.50931,1.5072,1.50772,8065,1.5084
2021-03-05 20:00:00,1.50844,1.50919,1.5075,1.5087,6335,1.5085
2021-03-05 21:00:00,1.5072,1.50854,1.50445,1.50842,3515,1.5076
2021-03-05 22:00:00,1.50631,1.5081,1.50581,1.50581,4,1.5066
2021-03-07 20:00:00,1.50656,1.50736,1.50656,1.50736,3,1.507
2021-03-07 21:00:00,1.50796,1.508,1.50767,1.508,6,1.5079
2021-03-07 22:00:00,1.50742,1.50796,1.5072,1.50796,4,1.5075
2021-03-07 23:00:00,1.50612,1.50802,1.50539,1.50747,2820,1.5062
2021-03-08 00:00:00,1.50636,1.50731,1.5059,1.50638,3162,1.5067
2021-03-08 01:00:00,1.5063,1.5079,1.50556,1.50647,4163,1.5063
2021-03-08 02:00:00,1.50635,1.5081,1.50551,1.50629,4223,1.5064
2021-03-08 03:00:00,1.50663,1.50693,1.5057,1.50637,4085,1.5065
2021-03-08 04:00:00,1.50647,1.507,1.50594,1.50655,3227,1.5066
2021-03-08 05:00:00,1.50646,1.50703,1.5058,1.50644,3760,1.5065
2021-03-08 06:00:00,1.50551,1.50658,1.5051,1.50652,3818,1.506
2021-03-08 07:00:00,1.50644,1.50651,1.5048,1.50556,3585,1.5055
2021-03-08 08:00:00,1.50552,1.50773,1.5051,1.50638,4346,1.5066
2021-03-08 09:00:00,1.50602,1.50718,1.50513,1.50548,4134,1.5063
2021-03-08 10:00:00,1.50685,1.50756,1.5054,1.50603,3579,1.5065
2021-03-08 11:00:00,1.5056,1.50773,1.5052,1.50682,3271,1.5067
2021-03-08 12:00:00,1.5056,1.50672,1.5049,1.50561,3764,1.5058
2021-03-08 13:00:00,1.50281,1.50553,1.50158,1.50553,4362,1.5033
2021-03-08 14:00:00,1.50415,1.50454,1.5015,1.50285,5026,1.5033
2021-03-08 15:00:00,1.50154,1.505,1.5008,1.50416,5367,1.503
2021-03-08 16:00:00,1.50146,1.50208,1.5004,1.50148,4448,1.5014
2021-03-08 17:00:00,1.50013,1.50177,1.4993,1.5015,3923,1.5006
2021-03-08 18:00:00,1.5011,1.50177,1.4987,1.50011,3666,1.5
2021-03-08 19:00:00,1.50059,1.50162,1.49926,1.50154,3441,1.5005
2021-03-08 20:00:00,1.50143,1.50188,1.5001,1.50026,3346,1.5014
2021-03-08 21:00:00,1.50031,1.50201,1.4996,1.50148,1906,1.5009
2021-03-08 22:00:00,1.50077,1.5022,1.49927,1.50031,594,1.5004
2021-03-08 23:00:00,1.50003,1.5011,1.4992,1.5011,1529,1.4999
2021-03-09 00:00:00,1.4997,1.50086,1.4995,1.50009,2858,1.5004
2021-03-09 01:00:00,1.50114,1.50139,1.4991,1.50007,3699,1.5004
2021-03-09 02:00:00,1.50043,1.50132,1.4998,1.50116,3652,1.5008
2021-03-09 03:00:00,1.50062,1.5009,1.4998,1.50039,3102,1.5005
2021-03-09 04:00:00,1.50011,1.50073,1.4998,1.5006,2414,1.5004
2021-03-09 05:00:00,1.49972,1.50031,1.4992,1.50013,2359,1.4999
2021-03-09 06:00:00,1.50059,1.5007,1.4992,1.49969,2650,1.5001
2021-03-09 07:00:00,1.50196,1.50293,1.5,1.5006,3869,1.5018
2021-03-09 08:00:00,1.50184,1.50311,1.5006,1.50198,4169,1.5019
2021-03-09 09:00:00,1.50128,1.50183,1.4997,1.5018,3659,1.5009
2021-03-09 10:00:00,1.50022,1.50132,1.49968,1.5009,3428,1.5007
2021-03-09 11:00:00,1.50009,1.50072,1.499,1.50034,3648,1.5001
2021-03-09 12:00:00,1.49896,1.50015,1.49837,1.5001,3413,1.4994
2021-03-09 13:00:00,1.50069,1.50098,1.4982,1.49895,4139,1.4998
2021-03-09 14:00:00,1.50215,1.50215,1.49967,1.50071,4667,1.5011
2021-03-09 15:00:00,1.50272,1.50343,1.5015,1.50175,4890,1.5026
2021-03-09 16:00:00,1.50384,1.50524,1.502,1.50269,3977,1.504
2021-03-09 17:00:00,1.50325,1.50428,1.5024,1.50382,2986,1.5035
2021-03-09 18:00:00,1.50371,1.50415,1.5026,1.50322,3288,1.5035
2021-03-09 19:00:00,1.50325,1.50411,1.503,1.50369,2421,1.5037
2021-03-09 20:00:00,1.50437,1.50451,1.5026,1.50324,2321,1.5038
2021-03-09 21:00:00,1.50428,1.50473,1.50358,1.50433,1635,1.5043
2021-03-09 22:00:00,1.5037,1.5056,1.50263,1.50428,437,1.5033
2021-03-09 23:00:00,1.50442,1.50449,1.503,1.50344,1467,1.5038
2021-03-10 00:00:00,1.50428,1.50448,1.5034,1.50448,2241,1.504
2021-03-10 01:00:00,1.50435,1.50461,1.5035,1.50424,3017,1.5041
2021-03-10 02:00:00,1.5043,1.5049,1.5035,1.50434,3011,1.5044
2021-03-10 03:00:00,1.50478,1.50491,1.5039,1.50467,2468,1.5046
2021-03-10 04:00:00,1.50453,1.50499,1.5037,1.50474,1924,1.5045
2021-03-10 05:00:00,1.5047,1.5056,1.5041,1.50455,2700,1.5052
2021-03-10 06:00:00,1.50483,1.50553,1.5043,1.5052,2608,1.5051
2021-03-10 07:00:00,1.50529,1.50556,1.5042,1.50485,3063,1.505
2021-03-10 08:00:00,1.50519,1.50585,1.504,1.50528,3773,1.505
2021-03-10 09:00:00,1.50506,1.50611,1.5043,1.50535,3302,1.5052
2021-03-10 10:00:00,1.50475,1.50561,1.5041,1.50504,3254,1.5049
2021-03-10 11:00:00,1.50387,1.50499,1.5033,1.50483,3269,1.5044
2021-03-10 12:00:00,1.5037,1.50431,1.503,1.50382,3489,1.5039
2021-03-10 13:00:00,1.50413,1.50511,1.5028,1.50367,4873,1.5041
2021-03-10 14:00:00,1.50432,1.50527,1.5032,1.50416,5209,1.5042
2021-03-10 15:00:00,1.50394,1.50682,1.502,1.50425,7478,1.5041
2021-03-10 16:00:00,1.50423,1.50582,1.5033,1.50395,8107,1.5044
2021-03-10 17:00:00,1.50587,1.50628,1.5038,1.50437,6701,1.5055
2021-03-10 18:00:00,1.50626,1.50694,1.5052,1.5058,9925,1.5062
2021-03-10 19:00:00,1.50492,1.50639,1.5044,1.50637,7147,1.5055
2021-03-10 20:00:00,1.50508,1.50559,1.5043,1.50489,5581,1.5051
2021-03-10 21:00:00,1.5046,1.50543,1.5036,1.50507,2920,1.5047
2021-03-10 22:00:00,1.50482,1.50529,1.5031,1.50484,2404,1.5047
2021-03-10 23:00:00,1.50499,1.50548,1.5042,1.50474,2715,1.505
2021-03-11 00:00:00,1.50413,1.50505,1.5034,1.50498,4237,1.5043
2021-03-11 01:00:00,1.50332,1.50445,1.5028,1.50411,5006,1.5038
2021-03-11 02:00:00,1.50395,1.50408,1.5028,1.50334,4840,1.5037
2021-03-11 03:00:00,1.50406,1.50451,1.5034,1.50394,3423,1.5041
2021-03-11 04:00:00,1.50394,1.50451,1.5032,1.50437,2881,1.5041
2021-03-11 05:00:00,1.50431,1.50445,1.5034,1.50397,3783,1.504
2021-03-11 06:00:00,1.50412,1.5045,1.5033,1.50441,4022,1.5041
2021-03-11 07:00:00,1.50399,1.50535,1.5035,1.50421,6102,1.5046
2021-03-11 08:00:00,1.50573,1.50661,1.5033,1.50398,8411,1.5053
2021-03-11 09:00:00,1.50483,1.50599,1.5043,1.50588,7122,1.5053
2021-03-11 10:00:00,1.50488,1.50552,1.5042,1.50497,5516,1.5051
2021-03-11 11:00:00,1.50428,1.50574,1.5035,1.50484,6153,1.505
2021-03-11 12:00:00,1.50342,1.5046,1.5021,1.50432,7675,1.5038
