date,Close,High,Low,Open,Volume,VolWeiAvgPrc
2020-11-05 16:00:00,1.18211,1.18347,1.18208,1.18263,4407,1.1829
2020-11-05 17:00:00,1.18215,1.18342,1.18213,1.18235,1751,1.1827
2020-11-05 18:00:00,1.18171,1.18471,1.18083,1.18215,20263,1.1826
2020-11-05 19:00:00,1.1805,1.18318,1.18042,1.18171,13647,1.182
2020-11-05 20:00:00,1.1812,1.18142,1.17953,1.1805,18071,1.1802
2020-11-05 21:00:00,1.18242,1.18268,1.18075,1.1812,15283,1.1819
2020-11-05 22:00:00,1.18243,1.18335,1.18201,1.18243,11341,1.1826
2020-11-05 23:00:00,1.18191,1.18268,1.18188,1.18242,7969,1.1823
2020-11-06 00:00:00,1.18144,1.18271,1.1814,1.1819,7699,1.182
2020-11-06 01:00:00,1.18296,1.18315,1.18131,1.18144,9441,1.1822
2020-11-06 02:00:00,1.18404,1.18407,1.18274,1.18294,15754,1.1834
2020-11-06 03:00:00,1.18432,1.18534,1.1833,1.18404,23448,1.1844
2020-11-06 04:00:00,1.18531,1.18536,1.18255,1.18431,20787,1.1842
2020-11-06 05:00:00,1.18659,1.18754,1.18466,1.18531,18852,1.1859
2020-11-06 06:00:00,1.18775,1.18805,1.1866,1.1866,19166,1.1874
2020-11-06 07:00:00,1.1875,1.18844,1.1862,1.18774,19056,1.1873
2020-11-06 08:00:00,1.18891,1.18904,1.18655,1.1875,31905,1.1877
2020-11-06 09:00:00,1.18613,1.18909,1.18511,1.18892,37178,1.1871
2020-11-06 10:00:00,1.18728,1.18847,1.18588,1.18614,29278,1.1874
2020-11-06 11:00:00,1.18853,1.18903,1.1871,1.18727,22877,1.1882
2020-11-06 12:00:00,1.1881,1.18902,1.18772,1.18854,12566,1.1884
2020-11-06 13:00:00,1.18824,1.18853,1.18788,1.1881,8128,1.1882
2020-11-06 14:00:00,1.18817,1.18866,1.18802,1.18826,5319,1.1883
2020-11-06 15:00:00,1.18787,1.18829,1.1876,1.18818,6623,1.1879
2020-11-06 16:00:00,1.18731,1.18818,1.18716,1.18787,5519,1.1878
2020-11-08 17:00:00,1.18874,1.18895,1.18857,1.18894,430,1.1887
2020-11-08 18:00:00,1.18925,1.1895,1.18836,1.1887,8783,1.1891
2020-11-08 19:00:00,1.18861,1.18932,1.18786,1.18926,10153,1.1888
2020-11-08 20:00:00,1.18881,1.18953,1.18826,1.1886,14810,1.1889
2020-11-08 21:00:00,1.18905,1.18931,1.1887,1.18882,8191,1.1891
2020-11-08 22:00:00,1.18915,1.18918,1.18874,1.18905,6315,1.1889
2020-11-08 23:00:00,1.18869,1.18943,1.18865,1.18916,6268,1.1892
2020-11-09 00:00:00,1.18807,1.18958,1.18799,1.1887,7989,1.1891
2020-11-09 01:00:00,1.18926,1.18933,1.18806,1.18807,10709,1.1888
2020-11-09 02:00:00,1.18887,1.18984,1.18813,1.18925,19739,1.1889
2020-11-09 03:00:00,1.18716,1.18963,1.18648,1.18888,23186,1.188
2020-11-09 04:00:00,1.18738,1.18852,1.18665,1.18717,19633,1.1877
2020-11-09 05:00:00,1.188,1.18803,1.18699,1.18738,10616,1.1874
2020-11-09 06:00:00,1.18865,1.18999,1.186,1.18799,37763,1.1883
2020-11-09 07:00:00,1.1894,1.18998,1.18708,1.18866,65042,1.1885
2020-11-09 08:00:00,1.1893,1.19068,1.18716,1.1894,44695,1.1888
2020-11-09 09:00:00,1.18624,1.19201,1.18615,1.18931,42450,1.1898
2020-11-09 10:00:00,1.18281,1.18708,1.18141,1.18624,54614,1.1842
2020-11-09 11:00:00,1.18096,1.18283,1.17953,1.18283,43352,1.1811
2020-11-09 12:00:00,1.18187,1.18232,1.18075,1.18096,21256,1.1816
2020-11-09 13:00:00,1.18162,1.18216,1.18032,1.18187,14952,1.1813
2020-11-09 14:00:00,1.18322,1.18325,1.18151,1.18163,11816,1.1822
2020-11-09 15:00:00,1.18119,1.18365,1.18101,1.18323,13582,1.1827
2020-11-09 16:00:00,1.18126,1.18208,1.18103,1.18119,5939,1.1814
2020-11-09 17:00:00,1.18173,1.18211,1.18086,1.18125,2108,1.1814
2020-11-09 18:00:00,1.18241,1.18277,1.18137,1.18172,6750,1.182
2020-11-09 19:00:00,1.18145,1.18262,1.18072,1.18241,14948,1.1815
2020-11-09 20:00:00,1.18242,1.18281,1.18138,1.18145,14857,1.1821
2020-11-09 21:00:00,1.1826,1.18385,1.18237,1.18242,15267,1.1833
2020-11-09 22:00:00,1.18308,1.18317,1.18231,1.18259,10493,1.1828
2020-11-09 23:00:00,1.18353,1.18375,1.18303,1.18308,7458,1.1835
